관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,관리기관전화번호,위도,경도,데이터기준일자
부산광역시 부산진구청,부산광역시 부산진구 신암로83번길 13,부산광역시 부산진구 범천동 1252-70,생활방범,1,200,360도전방면,30,051-605-4646,35.14828695,129.0530758,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 동평로127번길 52,부산광역시 부산진구 부암동 365-1,생활방범,1,200,360도전방면,30,051-605-4646,35.16861765,129.0428187,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 동평로131번길 48,부산광역시 부산진구 부암동 320-143,생활방범,1,200,360도전방면,30,051-605-4646,35.16778731,129.045243,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 개금본동로66번길 11,부산광역시 부산진구 개금동 412-13,생활방범,4,200,360도전방면,30,051-605-4646,35.15769249,129.0202218,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 가야대로703번길 16,부산광역시 부산진구 당감동 71-8,생활방범,1,200,360도전방면,30,051-605-4646,35.15819218,129.0475617,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 엄광로305번길 3,부산광역시 부산진구 가야동 16-141,생활방범,1,200,360도전방면,30,051-605-4646,35.15519495,129.0429702,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 가야대로668번길 18,부산광역시 부산진구 가야동 5-16,생활방범,4,200,360도전방면,30,051-605-4646,35.15537076,129.0443001,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 서전로67번길 39,부산광역시 부산진구 전포동 192-3,생활방범,1,200,360도전방면,30,051-605-4646,35.15951162,129.0670745,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 새싹로266번길 18,부산광역시 부산진구 초읍동 276-2,생활방범,1,200,360도전방면,30,051-605-4646,35.17977241,129.0484629,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 성지로46번길22,부산광역시 부산진구 연지동 290-2,생활방범,1,200,360도전방면,30,051-605-4646,35.17463468,129.055547,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 성지로122번길 21,부산광역시 부산진구 초읍동 431-5,생활방범,1,200,360도전방면,30,051-605-4646,35.18147001,129.0516667,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 개금온정로17번길 77,부산광역시 부산진구 개금동 276-12,생활방범,1,200,360도전방면,30,051-605-4646,35.15596194,129.0236947,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 개금온정로17번길 77,부산광역시 부산진구 개금동 276-12,생활방범,1,200,360도전방면,30,051-605-4646,35.15596194,129.0236947,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 부전로152번길 44,부산광역시 부산진구 부전동 395-1,생활방범,4,200,360도전방면,30,051-605-4646,35.16031382,129.0580703,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 냉정로252번가길 23,부산광역시 부산진구 가야동 647-20,생활방범,4,200,360도전방면,30,051-605-4646,35.14948089,129.0267029,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 만리산로 103-1,부산광역시 부산진구 범천동 1221-12,생활방범,1,200,360도전방면,30,051-605-4646,35.14922857,129.0500493,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 엄광로328,부산광역시 부산진구 가야동 8-10,생활방범,4,200,360도전방면,30,051-605-4646,35.15419179,129.0443145,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 신암로 56,부산광역시 부산진구 범천동 1258-41,생활방범,1,200,360도전방면,30,051-605-4646,35.14711075,129.0554775,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 신암로39번길 38,부산광역시 부산진구 범천동 1287-80,생활방범,1,200,360도전방면,30,051-605-4646,35.1450469,129.0543197,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 성지로104번길 26,부산광역시 부산진구 초읍동 540,생활방범,1,200,360도전방면,30,051-605-4646,35.18839986,129.0336188,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 양지로14번길 14,부산광역시 부산진구 양정동 364-17,생활방범,1,200,360도전방면,30,051-605-4646,35.17214294,129.0687244,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 골드테마길 23,부산광역시 부산진구 범천동 727-7,생활방범,3,200,360도전방면,30,051-605-4646,35.14272377,129.0599399,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 전포대로255번길 38,부산광역시 부산진구 전포동 656-1,생활방범,1,200,360도전방면,30,051-605-4646,35.15956006,129.0633887,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 서전로68번길 43-1,부산광역시 부산진구 전포동 235-1,생활방범,1,200,360도전방면,30,051-605-4646,35.15592095,129.0675235,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 경마장로 1,부산광역시 부산진구 범전동 63-3,생활방범,1,200,360도전방면,30,051-605-4646,35.1685854,129.0632173,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 신암로 56,부산광역시 부산진구 범천동 1258-41,생활방범,1,200,360도전방면,30,051-605-4646,35.14711075,129.0554775,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 가야대로747번길 64,부산광역시 부산진구 부암동 680-10,생활방범,4,200,360도전방면,30,051-605-4646,35.16084496,129.0524741,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 경마장로11번길 24,부산광역시 부산진구 범전동 71-39,생활방범,1,200,360도전방면,30,051-605-4646,35.16855591,129.0645247,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 성지로74번길 143,부산광역시 부산진구 초읍동 515-2,생활방범,1,200,360도전방면,30,051-605-4646,35.180764,129.059822,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 엄광로 233,부산광역시 부산진구 가야동 355-39,생활방범,4,200,360도전방면,30,051-605-4646,35.15166,129.037551,2023-10-18
부산광역시 부산진구청,,부산광역시 부산진구 당감동 573-49,생활방범,1,200,360도전방면,30,051-605-4646,35.157068,129.037682,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 범천동 1302-59,부산광역시 부산진구 만리산로3번길 36,생활방범,1,200,360도전방면,30,051-605-4646,35.172505,129.076532,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 백양대로60번길 30,부산광역시 부산진구 당감동 238-58,생활방범,1,200,360도전방면,30,051-605-4646,35.163683,129.042536,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 가야대로454번길 32,부산광역시 부산진구 개금동 177-209,생활방범,1,200,360도전방면,30,051-605-4646,35.151955,129.021732,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 동평로181번길 32,부산광역시 부산진구 부암동 315-88,생활방범,1,200,360도전방면,30,051-605-4646,35.167994,129.04785,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 새싹로 207-21,부산광역시 부산진구 초읍동 271-30,생활방범,1,200,360도전방면,30,051-605-4646,35.174604,129.048127,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 성지로 131-1,부산광역시 부산진구 초읍동 175-30,생활방범,1,200,360도전방면,30,051-605-4646,35.18101428,129.0498472,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 성지로104번길 41,부산광역시 부산진구 초읍동 181-7,생활방범,1,200,360도전방면,30,051-605-4646,35.180969,129.052868,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 가야대로 737,부산광역시 부산진구 부암동 711-23,생활방범,1,200,360도전방면,30,051-605-4646,35.157708,129.052052,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 시민공원로19번길 80,부산광역시 부산진구 부암동 39-1,생활방범,1,200,360도전방면,30,051-605-4646,35.166485,129.051034,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 시민공원로76번길 4,부산광역시 부산진구 범전동 263-16,생활방범,1,200,360도전방면,30,051-605-4646,35.165038,129.057511,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 거제대로22번길 10,부산광역시 부산진구 양정동 401-18,생활방범,1,200,360도전방면,30,051-605-4646,35.17052,129.067977,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 동평로405번길 27,부산광역시 부산진구 양정동 312-15,생활방범,4,200,360도전방면,30,051-605-4646,35.174832,129.070044,2023-10-18
부산광역시 부산진구청,부산광역시 부산진구 진남로 524,부산광역시 부산진구 양정동 74-159,생활방범,1,200,360도전방면,30,051-605-4646,35.17033,129.072073,2023-10-18
